"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"21-Aug-2017","     9864.25","     9884.35","     9740.10","     9754.35","      211627775","        11764.00"
"22-Aug-2017","     9815.75","     9828.45","     9752.60","     9765.55","      189267122","         9850.89"
"23-Aug-2017","     9803.05","     9857.90","     9786.75","     9852.50","      173815509","         9961.13"
"24-Aug-2017","     9881.20","     9881.50","     9848.85","     9857.05","      190398702","        10392.63"
"28-Aug-2017","     9907.15","     9925.75","     9882.00","     9912.80","      164493772","         9900.06"
"29-Aug-2017","     9886.40","     9887.35","     9783.75","     9796.05","      178668444","         8469.09"
"30-Aug-2017","     9859.50","     9909.45","     9850.80","     9884.40","      162704136","         8008.72"
"31-Aug-2017","     9905.70","     9925.10","     9856.95","     9917.90","      337782004","        14619.43"
"01-Sep-2017","     9937.65","     9983.45","     9909.85","     9974.40","      162730656","         9314.82"
"04-Sep-2017","     9984.15","     9988.40","     9861.00","     9912.85","      153369495","         8069.64"
"05-Sep-2017","     9933.25","     9963.10","     9901.05","     9952.20","      143522342","         7566.62"
"06-Sep-2017","     9899.25","     9931.55","     9882.55","     9916.20","      153767846","         8926.98"
"07-Sep-2017","     9945.85","     9964.85","     9917.20","     9929.90","      194626599","         9455.48"
"08-Sep-2017","     9958.65","     9963.60","     9913.30","     9934.80","      168698771","         8792.49"
"11-Sep-2017","     9971.75","    10028.65","     9968.80","    10006.05","      178409875","         9545.94"
"12-Sep-2017","    10056.85","    10097.55","    10028.05","    10093.05","      188248293","         9894.20"
"13-Sep-2017","    10099.25","    10131.95","    10063.15","    10079.30","      221608053","        10682.41"
"14-Sep-2017","    10107.40","    10126.50","    10070.35","    10086.60","      232637517","        11047.46"
"15-Sep-2017","    10062.35","    10115.15","    10043.65","    10085.40","      274799134","        13650.90"
"18-Sep-2017","    10133.10","    10171.70","    10131.30","    10153.10","      160852680","         8106.66"
"19-Sep-2017","    10175.60","    10178.95","    10129.95","    10147.55","      193345992","         8796.21"
"20-Sep-2017","    10160.95","    10171.05","    10134.20","    10141.15","      205605243","        10105.71"
"21-Sep-2017","    10139.60","    10158.90","    10058.60","    10121.90","      197710666","        11114.28"
"22-Sep-2017","    10094.35","    10095.05","     9952.80","     9964.40","      233621596","        11941.88"
"25-Sep-2017","     9960.10","     9960.50","     9816.05","     9872.60","      228206970","        11258.68"
"26-Sep-2017","     9875.25","     9891.35","     9813.00","     9871.50","      196792799","         9754.02"
"27-Sep-2017","     9920.60","     9921.05","     9714.40","     9735.75","      206305991","        10127.39"
"28-Sep-2017","     9736.40","     9789.20","     9687.55","     9768.95","      396874518","        18962.40"
"29-Sep-2017","     9814.30","     9854.00","     9775.35","     9788.60","      202350211","        11087.11"
"03-Oct-2017","     9893.30","     9895.40","     9831.05","     9859.50","      167833406","         9698.55"
"04-Oct-2017","     9884.35","     9938.30","     9850.65","     9914.90","      160993982","         8790.29"
"05-Oct-2017","     9927.00","     9945.95","     9881.85","     9888.70","      152362417","         7823.55"
"06-Oct-2017","     9908.15","     9989.35","     9906.60","     9979.70","      201858899","         9986.18"
"09-Oct-2017","     9988.20","    10015.75","     9959.45","     9988.75","      148395842","         7425.19"
"10-Oct-2017","    10013.70","    10034.00","    10002.30","    10016.95","      153246570","         8055.50"
"11-Oct-2017","    10042.60","    10067.25","     9955.80","     9984.80","      195593061","        10227.90"
"12-Oct-2017","    10011.20","    10104.45","     9977.10","    10096.40","      207106672","        10579.80"
"13-Oct-2017","    10123.70","    10191.90","    10120.10","    10167.45","      237230047","        12379.80"
"16-Oct-2017","    10207.40","    10242.95","    10175.10","    10230.85","      209327364","        11774.68"
"17-Oct-2017","    10227.65","    10251.85","    10212.60","    10234.45","      201782377","        10422.81"
"18-Oct-2017","    10209.40","    10236.45","    10175.75","    10210.85","      262111790","        13177.83"
"19-Oct-2017","    10210.35","    10211.95","    10123.35","    10146.55","       31086379","         1685.16"
"23-Oct-2017","    10176.65","    10224.15","    10124.50","    10184.85","      224799211","        12144.31"
"24-Oct-2017","    10218.55","    10237.75","    10182.40","    10207.70","      223914325","        11539.73"
"25-Oct-2017","    10321.15","    10340.55","    10240.90","    10295.35","      612620774","        25922.51"
"26-Oct-2017","    10291.80","    10355.65","    10271.85","    10343.80","      443036008","        23135.46"
"27-Oct-2017","    10362.30","    10366.15","    10311.30","    10323.05","      322411410","        15149.90"
"30-Oct-2017","    10353.85","    10384.50","    10344.30","    10363.65","      244193178","        12558.70"
"31-Oct-2017","    10364.90","    10367.70","    10323.95","    10335.30","      239809700","        12830.06"
"01-Nov-2017","    10390.35","    10451.65","    10383.05","    10440.50","      268270466","        14206.21"
"02-Nov-2017","    10440.50","    10453.00","    10412.55","    10423.80","      207735021","        10779.63"
"03-Nov-2017","    10461.55","    10461.70","    10403.60","    10452.50","      206101238","        10070.83"
"06-Nov-2017","    10431.75","    10490.45","    10413.75","    10451.80","      199559409","        10231.76"
"07-Nov-2017","    10477.15","    10485.75","    10340.80","    10350.15","      295830692","        16182.46"
"08-Nov-2017","    10361.95","    10384.25","    10285.50","    10303.15","      282950322","        14789.39"
"09-Nov-2017","    10358.65","    10368.45","    10266.95","    10308.95","      247606613","        12697.28"
"10-Nov-2017","    10304.35","    10344.95","    10254.10","    10321.75","      287962940","        14682.60"
"13-Nov-2017","    10322.00","    10334.15","    10216.25","    10224.95","      216799588","        11783.34"
"14-Nov-2017","    10223.40","    10248.00","    10175.55","    10186.60","      314413476","        15398.97"
"15-Nov-2017","    10171.95","    10175.45","    10094.00","    10118.05","      213836202","        11609.18"
"16-Nov-2017","    10152.90","    10232.25","    10139.20","    10214.75","      188180035","         9995.55"
"17-Nov-2017","    10324.55","    10343.60","    10268.05","    10283.60","      209592893","        11023.35"
"20-Nov-2017","    10287.20","    10309.85","    10261.50","    10298.75","      151751415","         8502.63"
"21-Nov-2017","    10329.25","    10358.70","    10315.05","    10326.90","      191859084","        10443.99"
"22-Nov-2017","    10350.80","    10368.70","    10309.55","    10342.30","      162504058","         9136.04"
"23-Nov-2017","    10358.45","    10374.30","    10307.30","    10348.75","      157651842","         8789.42"
"24-Nov-2017","    10366.80","    10404.50","    10362.25","    10389.70","      133177324","         8197.66"
"27-Nov-2017","    10361.05","    10407.15","    10340.20","    10399.55","      146276512","         7551.71"
"28-Nov-2017","    10387.90","    10409.55","    10355.20","    10370.25","      202050866","         9979.25"
"29-Nov-2017","    10376.65","    10392.95","    10345.90","    10361.30","      157192930","         8852.80"
"30-Nov-2017","    10332.70","    10332.70","    10211.25","    10226.55","      353105240","        19005.56"
"01-Dec-2017","    10263.70","    10272.70","    10108.55","    10121.80","      147765528","         8518.58"
"04-Dec-2017","    10175.05","    10179.20","    10095.70","    10127.75","      153240126","         8458.66"
"05-Dec-2017","    10118.25","    10147.95","    10069.10","    10118.25","      160253042","         8749.09"
"06-Dec-2017","    10088.80","    10104.20","    10033.35","    10044.10","      171208366","         9598.82"
"07-Dec-2017","    10063.45","    10182.65","    10061.90","    10166.70","      171339022","         9910.28"
"08-Dec-2017","    10198.45","    10270.85","    10195.25","    10265.65","      206234019","        11468.15"
"11-Dec-2017","    10310.50","    10329.20","    10282.05","    10322.25","      152034656","         8453.76"
"12-Dec-2017","    10324.90","    10326.10","    10230.20","    10240.15","      180546894","        10380.24"
"13-Dec-2017","    10236.60","    10296.55","    10169.85","    10192.95","      187191964","        10070.44"
"14-Dec-2017","    10229.30","    10276.10","    10141.55","    10252.10","      159103960","         9549.23"
"15-Dec-2017","    10345.65","    10373.10","    10319.65","    10333.25","      262974703","        15106.77"
"18-Dec-2017","    10263.10","    10443.55","    10074.80","    10388.75","      237506982","        12921.61"
"19-Dec-2017","    10414.80","    10472.20","    10406.00","    10463.20","      174340665","        10982.95"
"20-Dec-2017","    10494.40","    10494.45","    10437.15","    10444.20","      180597460","        11303.00"
"21-Dec-2017","    10473.95","    10473.95","    10426.90","    10440.30","      156646972","         9411.20"
"22-Dec-2017","    10457.30","    10501.10","    10448.25","    10493.00","      143119167","         8755.32"
"26-Dec-2017","    10512.30","    10545.45","    10477.95","    10531.50","      160417384","         9043.77"
"27-Dec-2017","    10531.05","    10552.40","    10469.25","    10490.75","      170307122","         9077.60"
"28-Dec-2017","    10498.20","    10534.55","    10460.45","    10477.90","      281309989","        14551.58"
"29-Dec-2017","    10492.35","    10538.70","    10488.65","    10530.70","      156736221","         8943.10"
"01-Jan-2018","    10531.70","    10537.85","    10423.10","    10435.55","      134532090","         7546.56"
"02-Jan-2018","    10477.55","    10495.20","    10404.65","    10442.20","      158092430","         8665.47"
"03-Jan-2018","    10482.65","    10503.60","    10429.55","    10443.20","      172516859","         9541.60"
"04-Jan-2018","    10469.40","    10513.00","    10441.45","    10504.80","      180257392","         9561.95"
"05-Jan-2018","    10534.25","    10566.10","    10520.10","    10558.85","      186469717","        10306.22"
"08-Jan-2018","    10591.70","    10631.20","    10588.55","    10623.60","      174181231","         9907.27"
"09-Jan-2018","    10645.10","    10659.15","    10603.60","    10637.00","      211291563","        10733.37"
"10-Jan-2018","    10652.05","    10655.50","    10592.70","    10632.20","      181900014","         9720.65"
"11-Jan-2018","    10637.05","    10664.60","    10612.35","    10651.20","      158630055","         9635.01"
"12-Jan-2018","    10682.55","    10690.40","    10597.10","    10681.25","      180592153","        11005.12"
"15-Jan-2018","    10718.50","    10782.65","    10713.80","    10741.55","      181262074","        11333.11"
"16-Jan-2018","    10761.50","    10762.35","    10687.85","    10700.45","      217468081","        12709.44"
"17-Jan-2018","    10702.45","    10803.00","    10666.75","    10788.55","      260488465","        14334.26"
"18-Jan-2018","    10873.40","    10887.50","    10782.40","    10817.00","      321609375","        17930.30"
"19-Jan-2018","    10829.20","    10906.85","    10793.90","    10894.70","      214011963","        11792.26"
"22-Jan-2018","    10883.20","    10975.10","    10881.40","    10966.20","      238815813","        14469.06"
"23-Jan-2018","    10997.40","    11092.90","    10994.55","    11083.70","      293445774","        16423.91"
"24-Jan-2018","    11069.35","    11110.10","    11046.15","    11086.00","      292197072","        16915.14"
"25-Jan-2018","    11095.60","    11095.60","    11009.20","    11069.65","      340469462","        19939.54"
"29-Jan-2018","    11079.35","    11171.55","    11075.95","    11130.40","      249220726","        16118.36"
"30-Jan-2018","    11120.85","    11121.10","    11033.90","    11049.65","      234969503","        13232.19"
"31-Jan-2018","    11018.80","    11058.50","    10979.30","    11027.70","      253462573","        14459.69"
"01-Feb-2018","    11044.55","    11117.35","    10878.80","    11016.90","      315743486","        17719.40"
"02-Feb-2018","    10938.20","    10954.95","    10736.10","    10760.60","      291431992","        16542.51"
"05-Feb-2018","    10604.30","    10702.75","    10586.80","    10666.55","      247479157","        13980.63"
"06-Feb-2018","    10295.15","    10594.15","    10276.30","    10498.25","      274656443","        15606.34"
"07-Feb-2018","    10607.20","    10614.00","    10446.40","    10476.70","      258095424","        13971.66"
"08-Feb-2018","    10518.50","    10637.80","    10479.55","    10576.85","      239407938","        12569.23"
"09-Feb-2018","    10416.50","    10480.20","    10398.20","    10454.95","      197502912","        10602.15"
"12-Feb-2018","    10518.20","    10555.50","    10485.40","    10539.75","      224114801","        11133.78"
"14-Feb-2018","    10585.75","    10590.55","    10456.65","    10500.90","      236329440","        12188.94"
"15-Feb-2018","    10537.90","    10618.10","    10511.05","    10545.50","      217090245","        11035.38"
"16-Feb-2018","    10596.20","    10612.90","    10434.05","    10452.30","      190043189","        10026.71"
"19-Feb-2018","    10488.90","    10489.35","    10302.75","    10378.40","      193087737","         9871.36"
"20-Feb-2018","    10391.00","    10429.35","    10347.65","    10360.40","      193464871","         9619.95"
"21-Feb-2018","    10426.00","    10426.10","    10349.60","    10397.45","      241331542","        12996.36"
"22-Feb-2018","    10354.35","    10397.55","    10340.65","    10382.70","      323259078","        17711.46"
"23-Feb-2018","    10408.10","    10499.10","    10396.65","    10491.05","      217134363","        12704.32"
"26-Feb-2018","    10526.55","    10592.95","    10520.20","    10582.60","      177238616","        10274.89"
"27-Feb-2018","    10615.20","    10631.65","    10537.25","    10554.30","      193250158","        10276.42"
"28-Feb-2018","    10488.95","    10535.50","    10461.55","    10492.85","      294794221","        16299.11"
"01-Mar-2018","    10479.95","    10525.50","    10447.15","    10458.35","      181378504","        10179.48"
"05-Mar-2018","    10428.30","    10428.70","    10323.90","    10358.85","      199975720","        10673.92"
"06-Mar-2018","    10420.50","    10441.35","    10215.90","    10249.25","      229782297","        12143.95"
"07-Mar-2018","    10232.95","    10243.35","    10141.55","    10154.20","      257200599","        12128.88"
"08-Mar-2018","    10216.25","    10270.35","    10146.40","    10242.65","      233377712","        11479.51"
